Word	Declined	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
anima:Nom.Sg	anima	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
anima:Abl.Pl	animīs	īs	īs	īs	īs	a	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
anima:Dat.Sg	animae	ae	ae	ae	ae	es	ae	ae	ae	ae	ae	ae	e	e	e	e
anima:Acc.Pl	animās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās	ās
anima:Gen.Sg	animae	ae	ae	ae	ae	es	ae	ae	ae	ae	ae	ae	e	e	e	e
anima:Gen.Pl	animārum	ārum	ārum	ārum	ārum	ārum	ārum	ārum	am	ārum	ārum	ārum	ā	ārum	ārum	ārum
anima:Abl.Sg	animā	ā	ā	ā	ā	ā	ā	ā	ā	es	es	es	es	es	es	es
anima:Nom.Pl	animae	ae	ae	a	a	a	a	a	a	a	a	a	a	a	a	a
anima:Acc.Sg	animam	am	am	am	am	um	um	um	um	um	um	um	um	um	um	um
anima:Dat.Pl	animīs	īs	īs	īs	īs	a	īs	is	īs	īs	īs	īs	ō	īs	īs	īs
animal:Nom.Sg	animal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
animal:Abl.Pl	animālibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	ibus	ibus	ibus
animal:Dat.Sg	animālī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
animal:Acc.Pl	animālia	ia	ia	ū	ū	um	um	um	um	um	um	um	uī	ī	ī	ī
animal:Gen.Sg	animālis	is	is	ae	is	is	is	is	is	ōrum	ōrum	ō	ō	ō	ō	ō
animal:Gen.Pl	animālium	ium	ia	um	um	um	um	um	um	um	um	um	um	ī	um	um
animal:Abl.Sg	animālī	ī	ī	ī	ī	ī	uī	ī	ī	ī	ī	ī	ī	ī	ī	ī
animal:Nom.Pl	animālia	ia	ū	ū	ū	um	um	um	um	um	um	um	uī	ī	ī	ī
animal:Acc.Sg	animal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
