Word	Declined	0	1	2	3	4	5	6	7	8	9	10
arbiter:Gen.Pl	arbitrōrum	ōrum	am	um	um	um	um	um	um	um	um	um
arbiter:Abl.Sg	arbitrō	ō	ō	ō	ōrum	ōrum	ōrum	ōrum	ēs	e	e	e
arbiter:Nom.Pl	arbitrī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
arbiter:Acc.Sg	arbitrum	um	um	um	um	um	um	um	um	um	um	um
arbiter:Dat.Pl	arbitrīs	īs	īs	a	a	a	us	us	a	a	ēī	ī
arbitrium:Nom.Sg	arbitrium	um	um	um	um	um	um	um	um	um	um	um
arbitrium:Abl.Pl	arbitriīs	īs	īs	īs	īs	ōrum	a	a	a	a	a	a
arbitrium:Dat.Sg	arbitriō	ō	ō	ō	ōrum	ōrum	ēs	ōrum	um	um	ū	um
arbitrium:Acc.Pl	arbitria	a	a	a	a	a	a	a	a	a	a	a
arbitrium:Gen.Sg	arbitriī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
arbitrium:Gen.Pl	arbitriōrum	ōrum	am	uī	um	um	um	um	um	um	um	um
arbitrium:Abl.Sg	arbitriō	ō	ō	ō	ō	ōrum	ōrum	ōrum	um	e	e	e
