Word	Declined	0	1
auctor:Gen.Sg	auctōris	is	is
auctor:Gen.Pl	auctōrum	um	um
auctor:Abl.Sg	auctōre	e	e
auctor:Nom.Pl	auctōrēs	ēs	ēs
auctor:Acc.Sg	auctōrem	em	em
auctor:Dat.Pl	auctōribus	ibus	ibus
aura:Nom.Sg	aura	a	a
aura:Abl.Pl	aurīs	īs	īs
aura:Dat.Sg	aurae	ae	ae
aura:Acc.Pl	aurās	ās	ās
aura:Gen.Sg	aurae	ae	ae
aura:Gen.Pl	aurārum	ārum	ā
aura:Abl.Sg	aurā	ā	ā
aura:Nom.Pl	aurae	ae	a
aura:Acc.Sg	auram	am	am
aura:Dat.Pl	aurīs	īs	īs
auris:Nom.Sg	auris	is	īs
auris:Abl.Pl	auribus	ibus	ibus
auris:Dat.Sg	aurī	ī	ī
auris:Acc.Pl	aurēs	ēs	ēs
auris:Gen.Sg	auris	is	is
auris:Gen.Pl	aurium	ium	ium
auris:Abl.Sg	aure	e	e
auris:Nom.Pl	aurēs	ēs	ēs
auris:Acc.Sg	aurem	em	em
auris:Dat.Pl	auribus	ibus	ibus
aurum:Nom.Sg	aurum	um	um
aurum:Abl.Pl	aurīs	īs	īs
aurum:Dat.Sg	aurō	ō	ō
aurum:Acc.Pl	aura	a	a
aurum:Gen.Sg	aurī	ī	ī
aurum:Gen.Pl	aurōrum	ōrum	ēs
aurum:Abl.Sg	aurō	ō	ō
aurum:Nom.Pl	aura	a	a
aurum:Acc.Sg	aurum	um	um
aurum:Dat.Pl	aurīs	īs	īs
auxilium:Nom.Sg	auxilium	um	um
auxilium:Abl.Pl	auxiliīs	īs	īs
auxilium:Dat.Sg	auxiliō	ō	e
auxilium:Acc.Pl	auxilia	a	a
auxilium:Gen.Sg	auxiliī	ī	ī
auxilium:Gen.Pl	auxiliōrum	ōrum	ēs
auxilium:Abl.Sg	auxiliō	ō	ō
auxilium:Nom.Pl	auxilia	a	a
auxilium:Acc.Sg	auxilium	um	um
auxilium:Dat.Pl	auxiliīs	īs	īs
avis:Nom.Sg	avis	is	īs
avis:Abl.Pl	avibus	ibus	ibus
avis:Dat.Sg	avī	ī	ī
avis:Acc.Pl	avēs	ēs	ēs
avis:Gen.Sg	avis	is	is
avis:Gen.Pl	avium	ium	a
avis:Abl.Sg	ave	e	e
avis:Nom.Pl	avēs	ēs	ēs
avis:Acc.Sg	avem	em	em
avis:Dat.Pl	avibus	ibus	ibus
avus:Nom.Sg	avus	us	us
avus:Abl.Pl	avīs	īs	īs
avus:Dat.Sg	avō	ō	e
avus:Acc.Pl	avōs	ōs	ōs
avus:Gen.Sg	avī	ī	ī
avus:Gen.Pl	avōrum	ōrum	ōrum
avus:Abl.Sg	avō	ō	ō
avus:Nom.Pl	avī	ī	ī
avus:Acc.Sg	avum	um	um
avus:Dat.Pl	avīs	īs	īs
axis:Nom.Sg	axis	is	īs
axis:Abl.Pl	axibus	ibus	ibus
axis:Dat.Sg	axī	ī	ī
axis:Acc.Pl	axēs	ēs	ēs
axis:Gen.Sg	axis	is	is
axis:Gen.Pl	axium	ium	ium
axis:Abl.Sg	axe	e	e
axis:Nom.Pl	axēs	ēs	ēs
axis:Acc.Sg	axem	em	em
axis:Dat.Pl	axibus	ibus	ibus
bellua:Nom.Sg	bellua	a	a
bellua:Abl.Pl	belluīs	īs	īs
bellua:Dat.Sg	belluae	ae	es
bellua:Acc.Pl	belluās	ās	ās
bellua:Gen.Sg	belluae	ae	ae
bellua:Gen.Pl	belluārum	ārum	ās
bellua:Abl.Sg	belluā	ā	ās
bellua:Nom.Pl	belluae	ae	N/A
bellua:Acc.Sg	belluam	am	ās
bellua:Dat.Pl	belluīs	īs	īs
bellum:Nom.Sg	bellum	um	um
bellum:Abl.Pl	bellīs	īs	īs
bellum:Dat.Sg	bellō	ō	ō
bellum:Acc.Pl	bella	a	a
bellum:Gen.Sg	bellī	ī	ī
bellum:Gen.Pl	bellōrum	ōrum	ēs
bellum:Abl.Sg	bellō	ō	ō
bellum:Nom.Pl	bella	a	a
bellum:Acc.Sg	bellum	um	um
bellum:Dat.Pl	bellīs	īs	īs
bonum:Nom.Sg	bonum	um	um
bonum:Abl.Pl	bonīs	īs	īs
bonum:Dat.Sg	bonō	ō	ō
bonum:Acc.Pl	bona	a	a
bonum:Gen.Sg	bonī	ī	ī
bonum:Gen.Pl	bonōrum	ōrum	ēs
bonum:Abl.Sg	bonō	ō	ō
bonum:Nom.Pl	bona	a	a
bonum:Acc.Sg	bonum	um	um
bonum:Dat.Pl	bonīs	īs	īs
bos:Nom.Sg	bōs	NULL	ē
bos:Abl.Pl	bōbus	NULL	ēs
bos:Dat.Sg	bovī	ī	ium
bos:Acc.Pl	bovēs	ēs	ēs
bos:Gen.Sg	bovis	is	ēs
bos:Gen.Pl	boum	NULL	uum
bos:Abl.Sg	bove	e	ēs
bos:Nom.Pl	bovēs	ēs	ēs
bos:Acc.Sg	bovem	em	ēs
bos:Dat.Pl	bōbus	NULL	ēs
brachium:Nom.Sg	brachium	um	um
brachium:Abl.Pl	brachiīs	īs	īs
