Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
amnis:Dat.Sg	3	m	Dat.Sg	244	ī	amnī	i	e	e	e	e	e	e	e	e	e	e
amnis:Acc.Pl	3	m	Acc.Pl	244	ēs	amnēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
amnis:Gen.Sg	3	m	Gen.Sg	244	is	amnis	ei	e	e	e	e	e	e	e	e	e	e
amnis:Gen.Pl	3	m	Gen.Pl	244	ium	amnium	eo	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
amnis:Abl.Sg	3	m	Abl.Sg	244	e	amne	e	e	e	e	e	e	e	e	e	e	e
amnis:Nom.Pl	3	m	Nom.Pl	244	ēs	amnēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
amnis:Acc.Sg	3	m	Acc.Sg	244	em	amnem	e	e	e	e	e	e	e	e	e	e	e
amnis:Dat.Pl	3	m	Dat.Pl	244	ibus	amnibus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
amor:Nom.Sg	3	m	Nom.Sg	539		amor		e	e	e	e	e	e	e	e	e	e
amor:Abl.Pl	3	m	Abl.Pl	539	ibus	amōribus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
amor:Dat.Sg	3	m	Dat.Sg	539	ī	amōrī	i	e	e	e	e	e	e	e	e	e	e
amor:Acc.Pl	3	m	Acc.Pl	539	ēs	amōrēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
amor:Gen.Sg	3	m	Gen.Sg	539	is	amōris	ei	e	e	e	e	e	e	e	e	e	e
amor:Gen.Pl	3	m	Gen.Pl	539	um	amōrum	o	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
amor:Abl.Sg	3	m	Abl.Sg	539	e	amōre	e	e	e	e	e	e	e	e	e	e	e
amor:Nom.Pl	3	m	Nom.Pl	539	ēs	amōrēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
amor:Acc.Sg	3	m	Acc.Sg	539	em	amōrem	e	e	e	e	e	e	e	e	e	e	e
amor:Dat.Pl	3	m	Dat.Pl	539	ibus	amōribus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
anima:Nom.Sg	1	f	Nom.Sg	182	a	anima	a	a	a	a	a	a	a	a	a	a	a
anima:Abl.Pl	1	f	Abl.Pl	182	īs	animīs	ī	ei	ai	ai	ai	ai	ai	ai	ai	ai	ai
anima:Dat.Sg	1	f	Dat.Sg	182	ae	animae	e	e	e	e	e	e	e	e	e	e	e
anima:Acc.Pl	1	f	Acc.Pl	182	ās	animās	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai
anima:Gen.Sg	1	f	Gen.Sg	182	ae	animae	e	e	e	e	e	e	e	e	e	e	e
anima:Gen.Pl	1	f	Gen.Pl	182	ārum	animārum	aro	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
anima:Abl.Sg	1	f	Abl.Sg	182	ā	animā	a	a	a	a	a	a	a	a	a	a	a
anima:Nom.Pl	1	f	Nom.Pl	182	ae	animae	e	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai
anima:Acc.Sg	1	f	Acc.Sg	182	am	animam	a	a	a	a	a	a	a	a	a	a	a
anima:Dat.Pl	1	f	Dat.Pl	182	īs	animīs	ī	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
animal:Nom.Sg	3	n	Nom.Sg	307		animal			e	e	e	e	e	e	e	e	e
animal:Abl.Pl	3	n	Abl.Pl	307	ibus	animālibus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
animal:Dat.Sg	3	n	Dat.Sg	307	ī	animālī	i	e	e	e	e	e	e	e	e	e	e
