Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
202	amor:Abl.Pl	3	m	Abl.Pl	Abl	Pl	539	ibus	amōribus	ebo	e	i	i	i	i	i	i	i	i	i
203	amor:Dat.Sg	3	m	Dat.Sg	Dat	Sg	539	ī	amōrī	i	i	i	i	i	i	i	i	i	i	i
204	amor:Acc.Pl	3	m	Acc.Pl	Acc	Pl	539	ēs	amōrēs	i	i	i	i	i	i	i	i	i	i	i
205	amor:Gen.Sg	3	m	Gen.Sg	Gen	Sg	539	is	amōris	i	i	i	i	i	i	i	i	i	i	i
206	amor:Gen.Pl	3	m	Gen.Pl	Gen	Pl	539	um	amōrum	o										
207	amor:Abl.Sg	3	m	Abl.Sg	Abl	Sg	539	e	amōre	e	e	e	e	e	e	e	e	e	e	e
208	amor:Nom.Pl	3	m	Nom.Pl	Nom	Pl	539	ēs	amōrēs	i		i	i	i	i	i	i	i	i	i
209	amor:Acc.Sg	3	m	Acc.Sg	Acc	Sg	539	em	amōrem	e	e	e	e	e	e	e	e	e	e	e
210	amor:Dat.Pl	3	m	Dat.Pl	Dat	Pl	539	ibus	amōribus	ebo										
211	anima:Nom.Sg	1	f	Nom.Sg	Nom	Sg	182	a	anima	a	a	a	a	a	a	a	a	a	a	a
212	anima:Abl.Pl	1	f	Abl.Pl	Abl	Pl	182	īs	animīs	i	i	i	i	i	i	i	i	i	i	i
213	anima:Dat.Sg	1	f	Dat.Sg	Dat	Sg	182	ae	animae	e	i	i	i	i	i	i	i	i	i	i
214	anima:Acc.Pl	1	f	Acc.Pl	Acc	Pl	182	ās	animās	e	e	i	i	i	i	i	i	i	i	i
215	anima:Gen.Sg	1	f	Gen.Sg	Gen	Sg	182	ae	animae	e	i	i	i	i	i	i	i	i	i	i
216	anima:Gen.Pl	1	f	Gen.Pl	Gen	Pl	182	ārum	animārum	aro	e	i								
217	anima:Abl.Sg	1	f	Abl.Sg	Abl	Sg	182	ā	animā	a	a	a	a	a	a	a	a	a	a	a
218	anima:Nom.Pl	1	f	Nom.Pl	Nom	Pl	182	ae	animae	e	i	i	i	i	i	i	i	i	i	i
219	anima:Acc.Sg	1	f	Acc.Sg	Acc	Sg	182	am	animam	a	a	a	a	a	a	a	a	a	a	a
220	anima:Dat.Pl	1	f	Dat.Pl	Dat	Pl	182	īs	animīs	i	i	i								
221	animal:Nom.Sg	3	n	Nom.Sg	Nom	Sg	307		animal											
222	animal:Abl.Pl	3	n	Abl.Pl	Abl	Pl	307	ibus	animālibus	ebo	e	i	i	i	i					
223	animal:Dat.Sg	3	n	Dat.Sg	Dat	Sg	307	ī	animālī	i	i	i	i	i	i					
224	animal:Acc.Pl	3	n	Acc.Pl	Acc	Pl	307	ia	animālia	ea			i	i	i					
225	animal:Gen.Sg	3	n	Gen.Sg	Gen	Sg	307	is	animālis	i	i	i	i	i	i					
226	animal:Gen.Pl	3	n	Gen.Pl	Gen	Pl	307	ium	animālium	eo										
227	animal:Abl.Sg	3	n	Abl.Sg	Abl	Sg	307	ī	animālī	i	e	e	e	e						
228	animal:Nom.Pl	3	n	Nom.Pl	Nom	Pl	307	ia	animālia	ea				i	i					
229	animal:Acc.Sg	3	n	Acc.Sg	Acc	Sg	307		animal											
230	animal:Dat.Pl	3	n	Dat.Pl	Dat	Pl	307	ibus	animālibus	ebo										
231	animus:Nom.Sg	2	m	Nom.Sg	Nom	Sg	2407	us	animus	o	o	o	o	o	o	o	o	o	o	o
232	animus:Abl.Pl	2	m	Abl.Pl	Abl	Pl	2407	īs	animīs	i	e									
233	animus:Dat.Sg	2	m	Dat.Sg	Dat	Sg	2407	ō	animō	o										
234	animus:Acc.Pl	2	m	Acc.Pl	Acc	Pl	2407	ōs	animōs	o										
235	animus:Gen.Sg	2	m	Gen.Sg	Gen	Sg	2407	ī	animī	i	i									
236	animus:Gen.Pl	2	m	Gen.Pl	Gen	Pl	2407	ōrum	animōrum	oro										
237	animus:Abl.Sg	2	m	Abl.Sg	Abl	Sg	2407	ō	animō	o	o	o	o	o	o	o	o	o	o	o
238	animus:Nom.Pl	2	m	Nom.Pl	Nom	Pl	2407	ī	animī	i										
239	animus:Acc.Sg	2	m	Acc.Sg	Acc	Sg	2407	um	animum	o	o	o	o	o	o	o	o	o	o	o
240	animus:Dat.Pl	2	m	Dat.Pl	Dat	Pl	2407	īs	animīs	i	i									
