Form	Root	Suffix	Case	Gender	Declension	Parent	English	Total	Prose	Poetry
mīlitis	mīlit	is	Gen.Sg	m	3	miles	soldier	842	781	61
mīlitum	mīlit	um	Gen.Pl	m	3	miles	soldier	842	781	61
mīlitī	mīlit	ī	Dat.Sg	m	3	miles	soldier	842	781	61
mīlitibus	mīlit	ibus	Dat.Pl	m	3	miles	soldier	842	781	61
mīlitem	mīlit	em	Acc.Sg	m	3	miles	soldier	842	781	61
mīlitēs	mīlit	ēs	Acc.Pl	m	3	miles	soldier	842	781	61
mīlite	mīlit	e	Abl.Sg	m	3	miles	soldier	842	781	61
mīlitibus	mīlit	ibus	Abl.Pl	m	3	miles	soldier	842	781	61
mīles	mīles	NULL	Voc.Sg	m	3	miles	soldier	842	781	61
mīlitēs	mīlit	ēs	Voc.Pl	m	3	miles	soldier	842	781	61
populus	popul	us	Nom.Sg	m	2	populus	the people	822	639	183
populī	popul	ī	Nom.Pl	m	2	populus	the people	822	639	183
populī	popul	ī	Gen.Sg	m	2	populus	the people	822	639	183
populōrum	popul	ōrum	Gen.Pl	m	2	populus	the people	822	639	183
populō	popul	ō	Dat.Sg	m	2	populus	the people	822	639	183
populīs	popul	īs	Dat.Pl	m	2	populus	the people	822	639	183
populum	popul	um	Acc.Sg	m	2	populus	the people	822	639	183
populōs	popul	ōs	Acc.Pl	m	2	populus	the people	822	639	183
populō	popul	ō	Abl.Sg	m	2	populus	the people	822	639	183
populīs	popul	īs	Abl.Pl	m	2	populus	the people	822	639	183
popule	popul	e	Voc.Sg	m	2	populus	the people	822	639	183
populī	popul	ī	Voc.Pl	m	2	populus	the people	822	639	183
nātūra	nātūr	a	Nom.Sg	f	1	natura	nature	769	711	58
nātūrae	nātūr	ae	Nom.Pl	f	1	natura	nature	769	711	58
nātūrae	nātūr	ae	Gen.Sg	f	1	natura	nature	769	711	58
nātūrārum	nātūr	ārum	Gen.Pl	f	1	natura	nature	769	711	58
nātūrae	nātūr	ae	Dat.Sg	f	1	natura	nature	769	711	58
nātūrīs	nātūr	īs	Dat.Pl	f	1	natura	nature	769	711	58
nātūram	nātūr	am	Acc.Sg	f	1	natura	nature	769	711	58
nātūrās	nātūr	ās	Acc.Pl	f	1	natura	nature	769	711	58
nātūrā	nātūr	ā	Abl.Sg	f	1	natura	nature	769	711	58
nātūrīs	nātūr	īs	Abl.Pl	f	1	natura	nature	769	711	58
nātūra	nātūr	a	Voc.Sg	f	1	natura	nature	769	711	58
nātūrae	nātūr	ae	Voc.Pl	f	1	natura	nature	769	711	58
nōmen	nōmen	NULL	Nom.Sg	n	3	nomen	name	756	572	184
nōmina	nōmin	a	Nom.Pl	n	3	nomen	name	756	572	184
nōminis	nōmin	is	Gen.Sg	n	3	nomen	name	756	572	184
nōminum	nōmin	um	Gen.Pl	n	3	nomen	name	756	572	184
nōminī	nōmin	ī	Dat.Sg	n	3	nomen	name	756	572	184
nōminibus	nōmin	ibus	Dat.Pl	n	3	nomen	name	756	572	184
nōmen	nōmen	NULL	Acc.Sg	n	3	nomen	name	756	572	184
nōmina	nōmin	a	Acc.Pl	n	3	nomen	name	756	572	184
nōmine	nōmin	e	Abl.Sg	n	3	nomen	name	756	572	184
nōminibus	nōmin	ibus	Abl.Pl	n	3	nomen	name	756	572	184
nōmen	nōmen	NULL	Voc.Sg	n	3	nomen	name	756	572	184
nōmina	nōmin	a	Voc.Pl	n	3	nomen	name	756	572	184
mare	mar	e	Nom.Sg	n	3	mare	sea	660	399	261
maria	mar	ia	Nom.Pl	n	3	mare	sea	660	399	261
maris	mar	is	Gen.Sg	n	3	mare	sea	660	399	261
marium	mar	ium	Gen.Pl	n	3	mare	sea	660	399	261
marī	mar	ī	Dat.Sg	n	3	mare	sea	660	399	261
maribus	mar	ibus	Dat.Pl	n	3	mare	sea	660	399	261
mare	mar	e	Acc.Sg	n	3	mare	sea	660	399	261
maria	mar	ia	Acc.Pl	n	3	mare	sea	660	399	261
marī	mar	ī	Abl.Sg	n	3	mare	sea	660	399	261
maribus	mar	ibus	Abl.Pl	n	3	mare	sea	660	399	261
mare	mar	e	Voc.Sg	n	3	mare	sea	660	399	261
maria	mar	ia	Voc.Pl	n	3	mare	sea	660	399	261
concilium	concili	um	Nom.Sg	n	2	concilium	plan, council, judgment, advice	657	608	49
concilia	concili	a	Nom.Pl	n	2	concilium	plan, council, judgment, advice	657	608	49
conciliī	concili	ī	Gen.Sg	n	2	concilium	plan, council, judgment, advice	657	608	49
conciliōrum	concili	ōrum	Gen.Pl	n	2	concilium	plan, council, judgment, advice	657	608	49
conciliō	concili	ō	Dat.Sg	n	2	concilium	plan, council, judgment, advice	657	608	49
